Cc1nc(CNC(=O)c2c(C)oc(C)c2C)no1, fitness:0.00470321845209
Cc1cccc(O)c1C(=O)NCc1ncc(-c2ccccc2)o1, fitness:1.21967550403
CN(CC(=O)NCc1cccnc1)C(=O)c1cccc(Cl)c1, fitness:1.54807787904
CCOC(=O)c1ccc(NC(=O)CSc2nc[nH]n2)cc1, fitness:0.661727224936
Cc1cccc(C)c1C(=O)NCc1cc2ccccc2[nH]c1=O, fitness:0.0867186642736
CCN(Cc1nc(-c2ccccc2C)no1)C(=O)c1cccnc1, fitness:1.26341189425
Cc1coc(C(=O)NCc2c(C3CC3)cnn2C2CCCC2)c1C, fitness:0.733400345513
Cc1ccccc1CN(C)C(=O)c1cccnc1OCC(F)F, fitness:1.30086725042
CC(=O)Nc1cccc(C(=O)OCC(=O)NC2CCCC2)c1, fitness:0.430034306276
CC(C)c1nc(CN2CCN(c3nc4ccccc4s3)CC2)cc(=O)[nH]1, fitness:0.910434274818
Cc1nc(C2CCN(C(=O)c3ccccc3Cl)C2)no1, fitness:1.09046412203
Cc1ncc(C)c(NCC(=O)Nc2ccccc2C#N)n1, fitness:0.855604016814
CC(=O)Nc1ccccc1C(=O)NCC(C)(O)c1ccoc1, fitness:0.341321224184
Cc1ccc(CNC(=O)NC(C)c2ccccn2)s1, fitness:0.252717687617
Cc1ccc(NC(=O)CCSc2ccccn2)cc1F, fitness:1.29370647869
CCC(CNS(=O)(=O)c1ccccc1N)c1ccccc1, fitness:0.00563107228078
Cc1cccc(NC(=O)Cc2cccc3c2OCO3)c1C, fitness:0.16323857078
COc1ccc(C(=O)Nc2nc(-c3ccc[nH]3)cs2)cc1, fitness:0.658991617015
Cc1ncoc1CNC(=O)c1cc(OCC(F)F)ccn1, fitness:1.21974603059
Cc1cc(C(=O)N2CCC(Oc3ccc(F)cc3)C2)c(C)o1, fitness:0.828924265966
Cc1ccncc1NC(=O)Cc1cccc(OC(F)F)c1, fitness:1.57696148401
Cc1ccnc(NC(=O)C2C(=O)CCN2c2ccccc2F)c1, fitness:1.16795011923
Cc1cnoc1CN1CCN(C(=O)Nc2ccccc2C#N)CC1, fitness:0.98374759487
CN(CC(=O)NC1CC1)C(=O)c1ccc(C(F)(F)F)cc1, fitness:0.0256552546715
C#CCN(Cc1cccc(C)c1)C(=O)c1cccc2c1OCO2, fitness:0.969214784408
Cc1ccccc1NC(=O)COc1ccc(-n2cnnn2)cc1, fitness:1.33392301755
Cc1nc(CN(C)C(=O)C(C)c2cccc(Cl)c2)no1, fitness:1.10552125711
CC(=O)Nc1cccc(NC(=O)CC23CC4CC(CC(O)(C4)C2)C3)c1, fitness:-1.77797200027
N#Cc1ccc(NCC(O)c2ccc3c(c2)OCO3)cc1, fitness:0.0629189422144
CC(C)n1ncc2ccnc(C(=O)Nc3ccccc3F)c21, fitness:1.25203489639
CC(=O)Nc1cccc(Cn2cc(Cl)cn2)c1, fitness:0.143019192899
Cc1noc(C)c1CNC(=O)CN(C)C(=O)c1cc2ccccc2[nH]1, fitness:1.09951155089
Cc1oc2ccccc2c1C(=O)N1CCN(Cc2cccs2)CC1, fitness:0.963724927347
COc1cccc(C(C)NC(=O)Cn2ccc(C(F)(F)F)n2)c1, fitness:0.956936755268
Cc1ccccc1-n1cnnc1SCC(=O)NC(C)C, fitness:0.515086050239
Cc1ccc(F)cc1NC(=O)COc1ccccc1C#N, fitness:0.99269668009
Cc1cc(O)cc(NC(=O)NC(C)C2Cc3ccccc3N2)c1, fitness:0.775339070024
CC(C)NC(=O)CSc1nnc(-c2cccs2)n1C1CC1, fitness:1.05534816281
Cc1cocc1C(=O)Nc1ccc(SCC(F)(F)F)cc1, fitness:0.0691194884731
Cc1cc(CNC(=O)c2ccccc2OCc2cscn2)no1, fitness:1.2293026757
CC(=O)Nc1ncsc1-c1ccccc1S(=O)(=O)N(C)C, fitness:0.15906857698
Nc1nnc(SCC(=O)c2cccc(-c3ccccc3)c2)[nH]1, fitness:0.0621580364401
C=CCN(Cc1cn2cc(Cl)ccc2n1)CC(C)C#N, fitness:0.799369423174
Cc1ccc(C)c(OCC(=O)NCc2cc(C)no2)c1, fitness:0.33917659509
CC(NC(=O)COc1ccc(C#N)cc1)c1ccc(F)cc1, fitness:0.0882375295248
Cc1onc(CNC(=O)c2ccc3[nH]ccc3c2)c1C, fitness:0.709500108843
NC(=O)c1csc(CN2CCN(C(=O)c3ccccn3)CC2)c1, fitness:1.05734855454
CN(Cc1ccccc1Cl)C(=O)COc1ccccc1C#N, fitness:0.215408189949
CC(C)c1nc(-c2cccc(NC(=O)c3ccoc3)c2)no1, fitness:1.21877385986
CCC(CC)NC(=O)c1cn2cc(N)ccc2n1, fitness:0.0351361578731
Cc1ccc(NC(=O)Cc2oncc2-c2cccnc2)c(C)c1, fitness:1.21933866224
CC1(C)CCCCC1(C)NC(=O)c1cnccn1, fitness:0.00440860086028
CC1CCCCN1C(=O)CSc1ncnc2sccc12, fitness:1.15215700636
Cc1ccc(C(=O)N2CCC(c3cc(=O)[nH]cn3)CC2)o1, fitness:1.02835809444
CSc1ccc(C(=O)NCc2cc(C(C)C)no2)cc1, fitness:0.127704578243
Cc1ccc(NC(=O)C2(C)Cc3ccccc3N2C(C)C)nc1, fitness:0.818924992555
Cc1nc(C2CCN(C(=O)c3ccc(Oc4ccccc4)cc3)C2)no1, fitness:0.786524902058
O=C(NCC1CCCCC1)c1coc2cccc(Cl)c12, fitness:0.165469251111
CC(CO)n1c(CNC(=O)c2cccc(F)c2)nc2ccccc21, fitness:1.12496717448
CN(Cc1cccc(C#N)c1)S(=O)(=O)c1cccc(C#N)c1, fitness:0.00610439184467
COc1cccc(C(=O)N(Cc2cccs2)C2CC2)c1F, fitness:0.813112017183
CN(Cc1ccc(F)cc1)C(=O)CSc1nc[nH]n1, fitness:0.133785386033
CC(C)c1nnnn1CC(=O)Oc1cccc2c1OCCO2, fitness:0.87898250979
Cc1coc(C(=O)NC(C#N)c2ccc(Cl)cc2)c1, fitness:0.0594854865777
COc1ccccc1C(=O)N(C)CC1CCN(C(=O)OC(C)(C)C)C1, fitness:0.733051418097
COc1cc(C(=O)NCC(C)C)ccc1-n1ccnn1, fitness:1.30855202472
Cc1cscc1C(=O)NCc1ccccc1S(N)(=O)=O, fitness:0.118491869996
COC(=O)c1ccc(NC(=O)c2ccc3c(C)nccc3c2)cc1, fitness:0.224116525556
CCC(=O)Nc1ccc(C(=O)NC(C)c2cccs2)cc1C, fitness:0.966970522414
Cc1ccc(C(=O)NCC(c2ccoc2)N2CCOCC2)s1, fitness:0.752916568958
CC1CCCCC1NC(=O)C1CN(C(=O)c2ccc(F)cc2)C1, fitness:0.0814251661004
COc1cccc(CC(=O)NC(C)Cc2ccsc2)c1, fitness:0.561382844633
CN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)Cc1ccccc1, fitness:0.175810811495
C#CCN(Cc1ccccc1F)C(=O)CN1CCOCC1C, fitness:0.717766553482
CCc1cnn(-c2ccccc2C)c1C(=O)Nc1nnc(C)s1, fitness:1.01990376528
Cc1csc(=O)n1CC(=O)Nc1ccccc1N1CCOCC1, fitness:0.986825251792
Cc1ccc(OCC#CCNC(=O)c2ccc(C)s2)nc1, fitness:0.985723740511
Cc1c(NC(=O)CC2CC3CCC2C3)cccc1C(=O)NC1CC1, fitness:0.473568609858
CN(CCC1CCCCO1)C(=O)c1ccc(NC(=O)C2CC2)cc1, fitness:0.905787911229
Cc1n[nH]c(-c2cccc(NC(=O)c3ccco3)c2)n1, fitness:0.842957156002
Cc1ccc(C(=O)NCCC(=O)Nc2ccncc2)s1, fitness:0.0633304832193
Cc1ccccc1NC(=O)C(C)n1cnc2ccccc21, fitness:0.0672275404452
Cc1ccc(S(=O)(=O)NCc2cscn2)c(C)c1, fitness:0.0489695964215
Cc1ccccc1NC(=O)CCSc1ccccn1, fitness:0.050801542488
Cc1nc(C(=O)N2CCC(CO)CC2)c2ccccn12, fitness:0.42028983446
COc1ccc(C(=O)NCCc2nc(-c3ccccc3)n[nH]2)cc1, fitness:1.03928941156
Cc1ccc(CN(C)C(=O)c2cc3c([nH]c2=O)CCC3)o1, fitness:1.07535924312
Cc1nocc1NC(=O)c1ccccc1S(=O)(=O)NCC(C)C, fitness:1.03062137987
CC1CCCCN1c1ncnc(NCC2CCCO2)c1N, fitness:0.801934463199
O=C(CC1CCCC1)Nc1ccnc(-c2cccc(F)c2)c1, fitness:1.5434788949
Cc1cccc(C(=O)NCc2nnnn2C(C)C)c1O, fitness:0.797416889366
Cc1ccc(C(=O)Nc2nc(-c3ccc(F)cc3)cs2)cn1, fitness:0.487259267698
COc1ccc(C2CCCN2C(=O)C(C)(C)C#N)cc1, fitness:0.080513792141
Cc1ncoc1-c1ccccc1NC(=O)c1ccnc(F)c1, fitness:1.32756594741
Cc1c[nH]nc1C(=O)NCC(O)c1ccccc1Cl, fitness:0.336203521957
COc1cccc(CC(=O)NCC2(c3ccccc3)CC2)c1, fitness:0.213659363961
C#CCNC(=O)c1ccc(NCc2ccccc2-n2cccn2)cn1, fitness:1.09183581286
COc1ccc(C(=O)NC2CCOc3ccccc32)c(O)c1, fitness:0.882014363889
Cc1cccc(C)c1-c1nnn(CC(=O)N(C)CC(=O)NC2CC2)n1, fitness:1.1419678523
CC1CCCC(NC(=O)C(C)n2cnc3sccc3c2=O)C1, fitness:0.911731610607
CCN(Cc1ccccc1NC(=O)c1cccnc1)C(C)=O, fitness:0.420996852071
Cc1cc(C(=O)NCc2cccnc2OC2CCCC2)c(C)o1, fitness:1.27789320362
CC(=O)NC(CC(=O)N(C)c1ccc2ccccc2c1)c1ccsc1, fitness:0.880642552376
COC(=O)c1cccc(-c2nc(C3CC3)n(C(C)C)n2)c1, fitness:1.1609618573
CC(=O)Nc1ccccc1CC(=O)Nc1cccnc1C, fitness:0.0224314199228
CC(=O)Nc1ccc(C(=O)NCc2cscn2)cc1, fitness:0.0393987669681
COc1ccc(OC)c(CN(C)C(=O)c2ccc(C)cc2C)c1, fitness:0.1534589851
CC(=O)Nc1ccc(C(=O)N(C)C(C)c2cccs2)cc1, fitness:0.0442989247307
COc1ccc(C(=O)Nc2ccncc2N2CCCC2)cc1, fitness:0.270018578973
Cc1nccc(C(=O)N(C)Cc2ccc(OC(C)C)cc2)n1, fitness:0.295183708835
CC(NC(=O)c1ccccc1Cl)c1ccc(O)cc1, fitness:0.00304232651025
CCN1CCN(C(=O)c2ccccc2OCc2cccnc2)CC1, fitness:1.06241631842
Cc1ccc(NC(=O)c2ccc[nH]c2=O)c(Cl)c1, fitness:0.0383637723592
