Cc1nc(CNC(=O)c2c(C)oc(C)c2C)no1, fitness:0.325430032543
Cc1cccc(O)c1C(=O)NCc1ncc(-c2ccccc2)o1, fitness:0.35739814153
CN(CC(=O)NCc1cccnc1)C(=O)c1cccc(Cl)c1, fitness:0.379703141181
CCOC(=O)c1ccc(NC(=O)CSc2nc[nH]n2)cc1, fitness:0.363901018923
Cc1cccc(C)c1C(=O)NCc1cc2ccccc2[nH]c1=O, fitness:0.360144057623
CCN(Cc1nc(-c2ccccc2C)no1)C(=O)c1cccnc1, fitness:0.361010830325
Cc1coc(C(=O)NCc2c(C3CC3)cnn2C2CCCC2)c1C, fitness:0.30518819939
Cc1ccccc1CN(C)C(=O)c1cccnc1OCC(F)F, fitness:0.40733197556
CC(=O)Nc1cccc(C(=O)OCC(=O)NC2CCCC2)c1, fitness:0.307692307692
CC(C)c1nc(CN2CCN(c3nc4ccccc4s3)CC2)cc(=O)[nH]1, fitness:0.328083989501
Cc1nc(C2CCN(C(=O)c3ccccc3Cl)C2)no1, fitness:0.327391778829
Cc1ncc(C)c(NCC(=O)Nc2ccccc2C#N)n1, fitness:0.393278512692
CC(=O)Nc1ccccc1C(=O)NCC(C)(O)c1ccoc1, fitness:0.235109717868
Cc1ccc(CNC(=O)NC(C)c2ccccn2)s1, fitness:0.377643504532
Cc1ccc(NC(=O)CCSc2ccccn2)cc1F, fitness:0.501169395256
CCC(CNS(=O)(=O)c1ccccc1N)c1ccccc1, fitness:0.435161009574
Cc1cccc(NC(=O)Cc2cccc3c2OCO3)c1C, fitness:0.32
COc1ccc(C(=O)Nc2nc(-c3ccc[nH]3)cs2)cc1, fitness:0.301886792453
Cc1ncoc1CNC(=O)c1cc(OCC(F)F)ccn1, fitness:0.393959290873
Cc1cc(C(=O)N2CCC(Oc3ccc(F)cc3)C2)c(C)o1, fitness:0.296296296296
Cc1ccncc1NC(=O)Cc1cccc(OC(F)F)c1, fitness:0.379703141181
Cc1ccnc(NC(=O)C2C(=O)CCN2c2ccccc2F)c1, fitness:0.413354531002
Cc1cnoc1CN1CCN(C(=O)Nc2ccccc2C#N)CC1, fitness:0.328083989501
CN(CC(=O)NC1CC1)C(=O)c1ccc(C(F)(F)F)cc1, fitness:0.340425531915
C#CCN(Cc1cccc(C)c1)C(=O)c1cccc2c1OCO2, fitness:0.280701754386
Cc1ccccc1NC(=O)COc1ccc(-n2cnnn2)cc1, fitness:0.35739814153
Cc1nc(CN(C)C(=O)C(C)c2cccc(Cl)c2)no1, fitness:0.386371619248
CC(=O)Nc1cccc(NC(=O)CC23CC4CC(CC(O)(C4)C2)C3)c1, fitness:0.301886792453
N#Cc1ccc(NCC(O)c2ccc3c(c2)OCO3)cc1, fitness:0.291545189504
CC(C)n1ncc2ccnc(C(=O)Nc3ccccc3F)c21, fitness:0.386371619248
CC(=O)Nc1cccc(Cn2cc(Cl)cn2)c1, fitness:0.392464678179
Cc1noc(C)c1CNC(=O)CN(C)C(=O)c1cc2ccccc2[nH]1, fitness:0.349539243724
Cc1oc2ccccc2c1C(=O)N1CCN(Cc2cccs2)CC1, fitness:0.290909090909
COc1cccc(C(C)NC(=O)Cn2ccc(C(F)(F)F)n2)c1, fitness:0.333555703803
Cc1ccccc1-n1cnnc1SCC(=O)NC(C)C, fitness:0.370644922165
Cc1ccc(F)cc1NC(=O)COc1ccccc1C#N, fitness:0.363901018923
Cc1cc(O)cc(NC(=O)NC(C)C2Cc3ccccc3N2)c1, fitness:0.310451879959
CC(C)NC(=O)CSc1nnc(-c2cccs2)n1C1CC1, fitness:0.275862068966
Cc1cocc1C(=O)Nc1ccc(SCC(F)(F)F)cc1, fitness:0.392464678179
Cc1cc(CNC(=O)c2ccccc2OCc2cscn2)no1, fitness:0.322788896062
CC(=O)Nc1ncsc1-c1ccccc1S(=O)(=O)N(C)C, fitness:0.473588342441
Nc1nnc(SCC(=O)c2cccc(-c3ccccc3)c2)[nH]1, fitness:0.291545189504
C=CCN(Cc1cn2cc(Cl)ccc2n1)CC(C)C#N, fitness:0.285714285714
Cc1ccc(C)c(OCC(=O)NCc2cc(C)no2)c1, fitness:0.407860585836
CC(NC(=O)COc1ccc(C#N)cc1)c1ccc(F)cc1, fitness:0.249791840133
Cc1onc(CNC(=O)c2ccc3[nH]ccc3c2)c1C, fitness:0.333456835865
NC(=O)c1csc(CN2CCN(C(=O)c3ccccn3)CC2)c1, fitness:0.351123595506
CN(Cc1ccccc1Cl)C(=O)COc1ccccc1C#N, fitness:0.279888044782
CC(C)c1nc(-c2cccc(NC(=O)c3ccoc3)c2)no1, fitness:0.345065562457
CCC(CC)NC(=O)c1cn2cc(N)ccc2n1, fitness:0.408496732026
Cc1ccc(NC(=O)Cc2oncc2-c2cccnc2)c(C)c1, fitness:0.367033700367
CC1(C)CCCCC1(C)NC(=O)c1cnccn1, fitness:0.363636363636
CC1CCCCN1C(=O)CSc1ncnc2sccc12, fitness:0.310451879959
Cc1ccc(C(=O)N2CCC(c3cc(=O)[nH]cn3)CC2)o1, fitness:0.35739814153
CSc1ccc(C(=O)NCc2cc(C(C)C)no2)cc1, fitness:0.32
Cc1ccc(NC(=O)C2(C)Cc3ccccc3N2C(C)C)nc1, fitness:0.351123595506
Cc1nc(C2CCN(C(=O)c3ccc(Oc4ccccc4)cc3)C2)no1, fitness:0.310451879959
O=C(NCC1CCCCC1)c1coc2cccc(Cl)c12, fitness:0.208073241781
CC(CO)n1c(CNC(=O)c2cccc(F)c2)nc2ccccc21, fitness:0.355182434614
CN(Cc1cccc(C#N)c1)S(=O)(=O)c1cccc(C#N)c1, fitness:0.435161009574
COc1cccc(C(=O)N(Cc2cccs2)C2CC2)c1F, fitness:0.226244343891
CN(Cc1ccc(F)cc1)C(=O)CSc1nc[nH]n1, fitness:0.353079639074
CC(C)c1nnnn1CC(=O)Oc1cccc2c1OCCO2, fitness:0.249910746162
