Cc1ncc(C(=O)NCc2ccccc2F)c(N2CCCCC2)n1, fitness:1.31010521852
Cc1ccc(CNC(=O)COCc2nc(C)no2)cn1, fitness:1.29718906696
CCN(Cc1cccc(OC)c1OC)C(=O)C1CC=CC1, fitness:0.0879872526125
CCN(CC(=O)OC)C(=O)c1ccccc1-c1noc(C)n1, fitness:1.01286647433
CCC(C)NS(=O)(=O)Cc1cccc(OC)c1, fitness:0.00121569612973
Cc1n[nH]c(CNC(=O)c2n[nH]c(N)c2Oc2ccccc2)c1N, fitness:0.744252086111
CC(C)Oc1cccc(-c2n[nH]c(=O)c(C#N)c2N)c1, fitness:0.579661639713
Nc1c(C(=O)NC2CCCC(=O)CN2)c2ccccc2[nH]c1=O, fitness:-1.47114996042
Cc1nc(-c2ccccc2)c(C(=O)Nc2ccccn2)o1, fitness:0.0618738680771
Cc1cccc(C)c1S(=O)(=O)Nc1cnn(C(C)O)c1, fitness:0.0270933052382
COc1cccc(C(C)N(C)S(=O)(=O)c2ccccc2)c1, fitness:0.0103678969792
Cc1ccc(C(=O)Nc2ccc(SC(F)F)cc2)cn1, fitness:0.0370333048807
N#Cc1ccccc1SCC(=O)Nc1cccc(F)c1, fitness:0.152915423413
COc1cccc(-c2c[nH]nc2-c2noc(-c3ccnc(C)c3)n2)c1, fitness:1.08594297176
COc1ccc(C(=O)N2CCNCC2(N)c2csc(C)c2)cc1, fitness:0.69100067407
Cc1coc(C(=O)NC(C)Oc2cccc3c2COC(=O)C3)c1, fitness:0.664633941471
Cc1cnc(CC(=O)NCc2cc(OC3CCCC3)ccn2)s1, fitness:1.28870149418
Cc1csc(C)c1C(=O)NCc1ccccc1C(N)=O, fitness:0.0495845528461
CNS(=O)(=O)c1cccc(C(=O)Nc2cccc(C#N)c2)c1, fitness:0.172278124827
N#Cc1ccc(OCC(=O)N2CCC(Oc3ccccc3)CC2)cc1, fitness:0.20808862479
CCOC(=O)c1ccc(-c2ccc(F)cc2)nc1NC, fitness:0.0521460401187
CC1=CCc2csc(C(=O)NCCN3CCOCC3)c2C1, fitness:0.818628613026
CCc1cc(C2CCCN2C(=O)c2ccc(OC)cc2OC)on1, fitness:0.769358516363
CC1CCCCC1OCCNC(=O)c1ccc(=O)[nH]c1, fitness:0.395443834543
Cc1nc(COC(=O)c2cnccn2)c2ccccc2n1, fitness:0.546130152041
Cc1cccc(NC(=O)N(C)Cc2ccc(C#N)cc2)n1, fitness:0.28877633845
Cc1nn(C)cc1CNC(=O)COC1CCC(C)CC1, fitness:0.418271239283
CC1OCCC1NC(=O)CCN1C(=O)COc2ccccc21, fitness:0.697589419236
Cc1ccc(CNC(=O)c2cccc(C#N)c2)s1, fitness:0.107315263332
CCOC(=O)c1cccc(NCc2ccn(C)n2)c1, fitness:0.661179448166
CCN(C(=O)COC(=O)c1cccc(OC)c1)C1CC1, fitness:0.234727536769
